step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.09293,1.0,0.06236,0.77778
2,0.28894,0.91667,2.37609,0.47059
3,0.72667,0.84091,1.31266,0.45455
4,0.43081,0.91667,2.26737,0.53333
5,0.04188,0.98131,0.03477,0.77778
6,2.36189,0.57895,0.9234,0.6
7,0.6167,0.85714,0.85589,0.72222
8,1.54198,0.57143,1.60423,0.6
9,0.01651,1.0,0.88172,0.47059
10,2.19413,0.67742,0.60704,0.76923
11,0.45114,0.82353,0.02273,0.77778
12,1.74411,0.8,2.47928,0.47059
13,3.36014,0.53846,1.39024,0.45455
14,1.10785,0.72727,2.29667,0.46667
15,1.62851,0.60938,0.01157,0.77778
16,0.60889,0.84615,0.89829,0.6
17,2.28948,0.53846,0.88989,0.72222
18,0.39299,0.9,1.62151,0.6
19,0.22738,0.92308,0.91883,0.44118
20,0.37185,0.88889,0.60463,0.76923
21,0.36448,0.95,0.01698,0.77778
22,0.32905,0.91667,2.59356,0.47059
23,1.95229,0.58333,1.53742,0.45455
24,0.66215,0.88889,2.27019,0.53333
25,0.21112,0.93548,0.00547,0.77778
26,0.67084,0.81516,0.76825,0.6
27,0.54552,0.88889,0.86963,0.72222
28,1.86539,0.59146,1.56452,0.6
29,0.23786,0.9,0.90805,0.47059
30,0.17142,0.88889,0.58945,0.76923
31,0.38288,0.86667,0.01582,0.77778
32,0.15579,0.97479,2.70596,0.47059
33,2.70357,0.44444,1.63546,0.45455
34,0.7728,0.83333,2.24572,0.53333
35,0.70929,0.88095,0.00306,0.77778
36,0.51834,0.9,0.79634,0.6
37,4.02239,0.2807,0.85169,0.72222
38,1.2015,0.72727,1.56815,0.6
39,1.57554,0.64286,0.91478,0.47059
40,0.8407,0.8,0.60263,0.76923
41,3.75452,0.37838,0.02108,0.77778
42,0.27889,1.0,2.6662,0.47059
43,0.55285,0.87234,1.61904,0.45455
44,2.31063,0.58333,2.23493,0.53333
45,0.85406,0.73913,0.00542,0.77778
46,0.8035,0.81818,0.7201,0.6
47,2.05778,0.66667,0.84847,0.72222
48,1.93445,0.69231,1.54621,0.6
49,2.17125,0.70588,0.89775,0.47059
50,2.66252,0.6,0.6204,0.76923
51,1.29425,0.66667,0.01982,0.77778
52,0.07648,1.0,2.64672,0.47059
