step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.02702,0.98131,0.02046,0.77778
2,1.89925,0.69231,2.63382,0.47059
3,1.44749,0.58333,1.55098,0.45455
4,0.6153,0.8297,2.22334,0.53333
5,0.51813,0.88889,0.00623,0.77778
6,2.19838,0.58333,0.84253,0.6
7,1.75774,0.61538,0.8474,0.72222
8,0.53812,0.88889,1.48338,0.6
9,0.27323,1.0,0.93533,0.47059
10,0.27373,0.95,0.64518,0.76923
11,0.29598,0.86667,0.02267,0.77778
12,0.85289,0.73913,2.49842,0.47059
13,0.23661,0.91667,1.59211,0.45455
14,2.84879,0.53846,2.24304,0.53333
15,0.32173,0.8,0.00432,0.77778
16,0.48182,0.84091,0.85014,0.6
17,2.67945,0.6,0.78093,0.72222
18,2.46323,0.44444,1.7745,0.6
19,3.17044,0.40541,0.96438,0.47059
20,0.26738,0.88889,0.59041,0.76923
21,1.49309,0.57143,0.00869,0.77778
22,1.77534,0.67742,2.57296,0.47059
23,0.67224,0.88889,1.79737,0.36364
24,0.6427,0.9,2.27923,0.53333
25,0.1499,0.93548,0.00143,0.77778
26,0.55181,0.87057,0.74978,0.6
27,0.1821,0.94958,0.72879,0.72222
28,0.7534,0.81818,1.93087,0.6
29,1.24208,0.77778,0.9385,0.44118
30,0.54799,0.8,0.61554,0.76923
31,1.35031,0.67188,0.03409,0.77778
32,0.05992,1.0,2.58823,0.47059
33,1.79161,0.57895,1.76683,0.45455
34,0.37536,0.92308,2.28947,0.53333
35,0.28344,0.9,0.0077,0.77778
36,0.00907,1.0,0.77242,0.6
37,0.05777,1.0,0.74738,0.66667
38,0.28767,0.92857,1.68041,0.6
39,0.82486,0.71429,0.95182,0.5
40,0.19264,0.91667,0.57741,0.76923
41,1.82272,0.59451,0.05277,0.77778
42,2.04862,0.66667,2.60794,0.47059
43,1.14716,0.75,1.769,0.45455
44,0.33326,0.8,2.32004,0.53333
45,0.06389,1.0,0.00259,0.77778
46,1.27876,0.86667,0.69508,0.6
47,0.76863,0.81818,0.79011,0.66667
48,2.09254,0.76471,1.80726,0.6
49,0.01459,1.0,0.93137,0.5
50,0.65377,0.85714,0.56152,0.76923
51,3.95116,0.26316,0.03568,0.77778
52,0.26655,0.88235,2.62176,0.47059
