step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.6816,0.82353,0.16,0.77778
2,1.13148,0.8,2.24858,0.47059
3,0.69187,0.83333,1.17669,0.45455
4,0.08137,0.97196,2.27216,0.46667
5,1.38862,0.72727,0.19937,0.77778
6,1.98728,0.55488,1.09183,0.6
7,1.26,0.77778,0.88679,0.72222
8,0.36265,0.90323,1.59501,0.6
9,0.22384,0.88889,0.94575,0.5
10,0.62488,0.9,0.70837,0.76923
11,0.23526,0.95798,0.17035,0.77778
12,1.44884,0.72727,2.40823,0.47059
13,2.57373,0.61111,1.32107,0.45455
14,2.00479,0.54688,2.22128,0.46667
15,0.67464,0.7,0.1263,0.77778
16,0.59616,0.76923,0.81702,0.6
17,0.74434,0.7,0.90948,0.72222
18,2.36193,0.58333,1.48698,0.6
19,0.91356,0.77273,0.9122,0.47059
20,0.81261,0.85714,0.71835,0.76923
21,0.89278,0.72222,0.11659,0.77778
22,2.53889,0.52632,2.40426,0.47059
23,0.45866,0.91667,1.32283,0.45455
24,4.21625,0.21053,2.33033,0.53333
25,1.42116,0.66667,0.08336,0.77778
26,3.69779,0.53846,0.93238,0.6
27,0.57019,0.87766,0.90077,0.72222
28,0.43611,0.83333,1.51193,0.6
29,1.08363,0.69565,0.89242,0.47059
30,1.82531,0.52381,0.71131,0.76923
31,0.80833,0.76923,0.08143,0.77778
32,0.46377,0.88889,2.34017,0.47059
33,0.22474,1.0,1.26679,0.45455
34,2.88794,0.53333,2.27431,0.53333
35,2.44139,0.53846,0.06234,0.77778
36,1.50848,0.64286,0.98456,0.6
37,0.45069,0.8,0.86304,0.72222
38,1.86013,0.69231,1.57057,0.6
39,0.37488,0.95,0.86748,0.47059
40,0.59793,0.77778,0.65079,0.76923
41,0.26423,1.0,0.05868,0.77778
42,2.19259,0.67742,2.35332,0.47059
43,2.27508,0.70588,1.29302,0.45455
44,1.79338,0.73333,2.29681,0.46667
45,0.3884,0.8,0.04963,0.77778
46,0.6715,0.81205,0.94071,0.6
47,2.78958,0.44444,0.84065,0.72222
48,0.71419,0.85714,1.57052,0.6
49,1.79435,0.75,0.85071,0.47059
50,0.82974,0.81818,0.64365,0.76923
51,0.55759,0.88889,0.06212,0.77778
52,3.58986,0.32432,2.3555,0.47059
