step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,4.57602,0.25,2.53297,0.5
2,0.74459,1.0,4.49192,0.4
3,2.99856,0.5,4.38562,0.25
4,1.28102,0.71875,5.66147,0.0
5,1.06433,0.8,1.87594,0.5
6,4.54644,0.14286,3.01815,0.75
7,2.23198,0.33333,1.95075,0.45455
8,2.16402,0.33333,4.33342,0.33333
9,2.75369,0.4,5.10923,0.14286
10,1.59105,0.66667,2.41389,0.57143
11,6.08682,0.16667,1.88226,0.5
12,2.01327,0.57143,5.29553,0.2
13,4.90613,0.33333,5.34565,0.25
14,2.41294,0.33333,6.14453,0.16667
15,1.19232,0.75,1.31684,1.0
16,1.90273,0.5,3.58522,0.75
17,0.65753,0.875,1.67922,0.63636
18,4.49672,0.33333,4.69675,0.33333
19,5.97798,0.03226,5.19009,0.14286
20,6.0324,0.14286,2.54577,0.42857
21,1.16231,0.63636,1.85406,0.5
22,0.84074,0.77778,4.67907,0.3
23,0.48993,0.94118,4.47088,0.25
24,3.48385,0.38298,5.89338,0.16667
25,2.45801,0.46154,1.54937,1.0
26,3.78804,0.33333,3.48586,0.75
27,3.27547,0.4,1.7677,0.45455
28,7.25789,0.11111,4.38359,0.0
29,1.52469,0.4,5.13549,0.14286
30,1.58045,0.70244,2.55898,0.42857
31,3.14494,0.33333,1.926,0.5
32,2.71923,0.57692,4.39839,0.2
33,1.86541,0.54184,4.43747,0.25
34,0.60559,0.91667,5.71569,0.16667
35,3.12588,0.5,2.39708,0.0
36,3.92862,0.33333,3.48567,0.75
37,1.05057,0.6,1.81876,0.36364
38,2.59241,0.5,4.57184,0.0
39,6.19183,0.0,5.14531,0.14286
40,1.42425,1.0,2.49044,0.42857
41,2.1979,0.33333,1.90622,0.5
42,5.1651,0.0,4.44648,0.2
43,1.40443,0.74286,4.46986,0.25
44,0.65453,0.91667,5.73417,0.16667
45,0.69382,0.9434,2.27692,0.5
46,4.50511,0.21429,3.35238,0.75
47,2.10873,0.61538,1.77299,0.45455
48,5.24359,0.25,4.34724,0.0
49,1.82285,0.72222,5.09906,0.14286
50,2.45993,0.75,2.38872,0.42857
51,4.92534,0.09804,1.83107,0.5
52,4.49793,0.5,4.45834,0.3
